Игрок,Убийства (У),Смерти (С),Помощь (П),Общий Счет,K/D,K/D с учетом асистов,Количесто сыгранных матчей,Должен был сыграть матчей,Средние убийства,Средняя помощь,Средний счет за матч,Ранг ср килов,Ранг средних помощей,Ранг среднего счета,Ранг К/Д,Ранг К/Д с асистами,Общий ранг
YmMingg,230,104,86,77531,2.21,2.46,8,17,28.75,10.75,9691.38,1,2,1,2,2,8
PetroRet,412,171,163,146589,2.41,2.70,17,17,24.24,9.59,8622.88,3,5,3,1,1,13
Gavs_general,233,120,139,87848,1.94,2.29,11,17,21.18,12.64,7986.18,4,1,4,3,3,15
Treitores,437,236,181,152585,1.85,2.08,17,17,25.71,10.65,8975.59,2,3,2,4,5,16
KakatteKoi,231,131,159,91916,1.76,2.13,17,17,13.59,9.35,5406.82,8,6,9,5,4,32
GolOt,257,212,155,99041,1.21,1.43,16,17,16.06,9.69,6190.06,7,4,5,9,8,33
Max_Hunter,173,99,69,53382,1.75,1.96,9,17,19.22,7.67,5931.33,5,10,7,6,6,34
Artem_Joker,50,41,20,18134,1.22,1.37,3,17,16.67,6.67,6044.67,6,17,6,8,9,46
EAKLESIAST,214,199,140,91889,1.08,1.29,17,17,12.59,8.24,5405.24,9,8,10,12,12,51
KolyaH,158,164,124,79623,0.96,1.19,14,17,11.29,8.86,5687.36,14,7,8,14,14,57
Duggi_,193,175,130,81231,1.10,1.33,17,17,11.35,7.65,4778.29,13,11,12,11,11,58
Xromoy,113,106,64,42554,1.07,1.25,9,17,12.56,7.11,4728.22,10,14,13,13,13,63
Wertig_o,96,57,45,34216,1.68,1.92,8,17,12.00,5.63,4277.00,11,27,17,7,7,69
Chaos_st,133,166,104,58906,0.80,0.99,13,17,10.23,8.00,4531.23,15,9,14,20,17,75
Bodusopp,162,144,97,60751,1.13,1.33,17,17,9.53,5.71,3573.59,18,24,26,10,10,88
GagarinPupkin,69,86,34,29343,0.80,0.92,6,17,11.50,5.67,4890.50,12,25,11,19,21,88
ARTPLAYGAME,137,171,97,59824,0.80,0.97,14,17,9.79,6.93,4273.14,17,15,18,21,19,90
CJIADKIY_XLEB,162,178,96,63048,0.91,1.07,17,17,9.53,5.65,3708.71,19,26,22,16,16,99
Pipikola,60,70,23,26846,0.86,0.96,6,17,10.00,3.83,4474.33,16,31,15,17,20,99
Anton_in_Baton,123,166,92,62521,0.74,0.91,14,17,8.79,6.57,4465.79,20,19,16,22,22,99
DeDOJY,115,125,80,50167,0.92,1.11,14,17,8.21,5.71,3583.36,24,22,25,15,15,101
BanditTaliban,35,50,29,15413,0.70,0.87,4,17,8.75,7.25,3853.25,21,12,21,25,25,104
Jily_Ford,127,188,107,62487,0.68,0.85,15,17,8.47,7.13,4165.80,23,13,19,26,26,107
ReplacQ,78,109,66,36292,0.72,0.90,10,17,7.80,6.60,3629.20,26,18,24,24,23,115
Killasan,110,151,80,56995,0.73,0.89,14,17,7.86,5.71,4071.07,25,23,20,23,24,115
JonVik,138,216,100,58912,0.64,0.78,16,17,8.63,6.25,3682.00,22,20,23,27,27,119
FoJRoN,105,125,55,45190,0.84,0.97,16,17,6.56,3.44,2824.38,30,32,30,18,18,128
Kolikoli,91,163,89,41458,0.56,0.72,13,17,7.00,6.85,3189.08,28,16,29,31,29,133
FOBIB,15,25,8,6460,0.60,0.70,2,17,7.50,4.00,3230.00,27,30,27,29,31,144
Warager,66,124,62,32204,0.53,0.68,10,17,6.60,6.20,3220.40,29,21,28,33,33,144
Vegtas,64,106,57,32199,0.60,0.77,12,17,5.33,4.75,2683.25,31,29,32,28,28,148
Kostik_Troc,56,97,42,24376,0.58,0.71,13,17,4.31,3.23,1875.08,33,33,33,30,30,159
Arsiiiiiiik,87,197,87,47346,0.44,0.57,17,17,5.12,5.12,2785.06,32,28,31,34,34,159
STARbli,53,96,46,23620,0.55,0.70,17,17,3.12,2.71,1389.41,34,34,34,32,32,166
