№,Никнейм игрока,Убийства,Смерти,Помощь,Общий счет,Матчи,Итоговая сумма,Ср Убийства,Ср Смерти,Ср Помощ,К/Д,К/Д с асистами,Ср очки за матч,Ранг Убийства,Ранг Помощ,Ранг К/Д,Ранг К/Д с асистами,Ранг очков,Сумма рангов
19,Askoltik,91,57,52,95405,7,95612,13.00,8.14,7.43,1.60,1.87,13658.86,9,11,8,8,1,37
5,ARTPLAYGAME,181,182,144,240409,20,240936,9.05,9.10,7.20,0.99,1.23,12046.80,19,13,12,12,2,58
17,GagarinPupkin,127,155,63,101349,11,101705,11.55,14.09,5.73,0.82,0.94,9245.91,13,24,20,24,3,84
21,Shadowkilleds,93,157,56,82346,9,82661,10.33,17.44,6.22,0.59,0.70,9184.56,15,21,26,29,4,95
2,PetroRet,437,199,225,181742,22,182625,19.86,9.05,10.23,2.20,2.54,8301.14,3,2,2,2,5,14
1,Treitores,450,255,215,173894,22,175036,20.45,11.59,9.77,1.76,2.02,7956.18,1,3,5,5,6,20
24,GeraltAshbringer,117,132,64,71134,9,71456,13.00,14.67,7.11,0.89,1.03,7939.56,10,14,18,19,7,68
8,Jily_Ford,120,213,120,126435,16,127004,7.50,13.31,7.50,0.56,0.73,7937.75,24,10,28,26,8,96
11,Vegtas,56,109,51,124353,16,124635,3.50,6.81,3.19,0.51,0.65,7789.69,34,32,32,32,9,139
3,EAKLESIAST,271,215,150,145003,20,145659,13.55,10.75,7.50,1.26,1.47,7282.95,7,9,10,10,10,46
10,Anton_in_Baton,152,193,125,126135,18,126623,8.44,10.72,6.94,0.79,0.98,7034.61,21,16,22,22,11,92
16,Gavs_general,300,149,184,102744,15,103392,20.00,9.93,12.27,2.01,2.38,6892.80,2,1,4,4,12,23
6,Arsiiiiiiik,92,205,93,133221,20,133631,4.60,10.25,4.65,0.45,0.58,6681.55,33,29,34,34,13,143
28,VoHacker,104,41,51,52834,8,53046,13.00,5.13,6.38,2.54,2.91,6630.75,11,20,1,1,14,47
4,Duggi_,213,219,162,142234,22,142850,9.68,9.95,7.36,0.97,1.19,6493.18,17,12,14,13,15,71
7,GolOt,293,296,194,132334,21,133138,13.95,14.10,9.24,0.99,1.19,6339.90,6,5,13,14,16,54
9,CJIADKIY_XLEB,169,232,111,126252,20,126784,8.45,11.60,5.55,0.73,0.87,6339.20,20,25,25,25,17,112
12,JonVik,127,236,101,122287,20,122872,6.35,11.80,5.05,0.54,0.67,6143.60,27,26,31,30,18,132
15,KolyaH,194,227,169,113054,19,113663,10.21,11.95,8.89,0.85,1.08,5982.26,16,7,19,15,19,76
18,Max_Hunter,332,154,154,100069,17,100726,19.53,9.06,9.06,2.16,2.46,5925.06,4,6,3,3,20,36
34,Cwoixy,43,26,25,17251,3,17348,14.33,8.67,8.33,1.65,1.94,5782.67,5,8,6,7,21,47
20,ReplacQ,90,111,68,92053,16,92338,5.63,6.94,4.25,0.81,0.99,5771.13,29,30,21,20,22,122
14,KakatteKoi,258,157,185,114661,20,115281,12.90,7.85,9.25,1.64,2.00,5764.05,12,4,7,6,23,52
13,Bodusopp,228,253,134,118464,21,119210,10.86,12.05,6.38,0.90,1.06,5676.67,14,19,17,16,24,90
26,Chaos_st,129,167,94,68704,14,69108,9.21,11.93,6.71,0.77,0.94,4936.29,18,18,23,23,25,107
23,Kostik_Troc,81,147,51,74149,17,74445,4.76,8.65,3.00,0.55,0.66,4379.12,32,33,30,31,26,152
22,Wertig_o,149,127,111,75058,18,75463,8.28,7.06,6.17,1.17,1.44,4192.39,22,22,11,11,27,93
32,Xromoy,175,137,89,45543,13,45958,13.46,10.54,6.85,1.28,1.47,3535.23,8,17,9,9,28,71
27,Killasan,101,178,93,66083,19,66468,5.32,9.37,4.89,0.57,0.72,3498.32,31,28,27,27,29,142
25,FoJRoN,129,141,58,69152,20,69558,6.45,7.05,2.90,0.91,1.04,3477.90,26,34,15,17,30,122
33,Kolikoli,92,184,86,39228,15,39611,6.13,12.27,5.73,0.50,0.64,2640.73,28,23,33,33,31,148
30,Pipikola,89,98,42,26558,11,26809,8.09,8.91,3.82,0.91,1.04,2437.18,23,31,16,18,32,120
29,Warager,111,146,113,35140,16,35647,6.94,9.13,7.06,0.76,0.99,2227.94,25,15,24,21,33,118
31,BanditTaliban,50,89,45,18227,9,18429,5.56,9.89,5.00,0.56,0.71,2047.67,30,27,29,28,34,148
