Игрок,Когорта_Ранг,Очки_3,Кластер,Очки_4
YmMingg,S-тир (Топ),4,«Тащеры (Carry / Stars),4
PetroRet,S-тир (Топ),4,«Тащеры (Carry / Stars),4
Gavs_general,S-тир (Топ),4,«Тащеры (Carry / Stars),4
Treitores,S-тир (Топ),4,«Тащеры (Carry / Stars),4
KakatteKoi,S-тир (Топ),4,Стабильные бойцы,3
GolOt,S-тир (Топ),4,Стабильные бойцы,3
Max_Hunter,S-тир (Топ),4,Стабильные бойцы,3
Artem_Joker,S-тир (Топ),4,Стабильные бойцы,3
EAKLESIAST,S-тир (Топ),4,Стабильные бойцы,3
KolyaH,A-тир (Выше среднего),3,Стабильные бойцы,3
Duggi_,A-тир (Выше среднего),3,Стабильные бойцы,3
Xromoy,A-тир (Выше среднего),3,Стабильные бойцы,3
Wertig_o,A-тир (Выше среднего),3,Стабильные бойцы,3
Chaos_st,A-тир (Выше среднего),3,Ниже среднего,2
Bodusopp,A-тир (Выше среднего),3,Ниже среднего,2
GagarinPupkin,A-тир (Выше среднего),3,Ниже среднего,2
ARTPLAYGAME,A-тир (Выше среднего),3,Ниже среднего,2
CJIADKIY_XLEB,B-тир (Средние),2,Ниже среднего,2
Pipikola,B-тир (Средние),2,Ниже среднего,2
Anton_in_Baton,B-тир (Средние),2,Ниже среднего,2
DeDOJY,B-тир (Средние),2,Ниже среднего,2
BanditTaliban,B-тир (Средние),2,Ниже среднего,2
Jily_Ford,B-тир (Средние),2,Ниже среднего,2
ReplacQ,B-тир (Средние),2,Ниже среднего,2
Killasan,B-тир (Средние),2,Ниже среднего,2
JonVik,C-тир (Отстающие),1,Ниже среднего,2
FoJRoN,C-тир (Отстающие),1,Требуются тренировки,1
Kolikoli,C-тир (Отстающие),1,Ниже среднего,2
FOBIB,C-тир (Отстающие),1,Требуются тренировки,1
Warager,C-тир (Отстающие),1,Ниже среднего,2
Vegtas,C-тир (Отстающие),1,Требуются тренировки,1
Kostik_Troc,C-тир (Отстающие),1,Требуются тренировки,1
Arsiiiiiiik,C-тир (Отстающие),1,Требуются тренировки,1
STARbli,C-тир (Отстающие),1,Требуются тренировки,1
